Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
Scotland,All,3970530,344228,802545,513038,294610,326930,616404,514036,198630
Scotland,Males,1939961,219866,345357,139574,205131,237551,224264,303586,95963
Scotland,Females,2030569,124362,457188,373464,89479,89379,392140,210450,102667
Abbey,All,8430,615,1708,981,1099,677,1530,1123,287
Abbey,Males,4074,384,656,243,748,463,568,699,133
Abbey,Females,4356,231,1052,738,351,214,962,424,154
"Aboyne, Upper Deeside and Donside",All,7914,986,1748,823,1092,770,1112,813,143
"Aboyne, Upper Deeside and Donside",Males,3943,697,723,175,700,553,360,486,46
"Aboyne, Upper Deeside and Donside",Females,3971,289,1025,648,392,217,752,327,97
"Abronhill, Kildrum and the Village",All,11413,502,1958,1923,630,1011,2137,1818,550
"Abronhill, Kildrum and the Village",Males,5494,314,820,509,475,722,785,1175,284
"Abronhill, Kildrum and the Village",Females,5919,188,1138,1414,155,289,1352,643,266
Aird and Loch Ness,All,8495,810,2017,971,1323,805,1122,838,190
Aird and Loch Ness,Males,4191,521,824,235,872,568,372,519,93
Aird and Loch Ness,Females,4304,289,1193,736,451,237,750,319,97
Airdrie Central,All,11938,580,1997,1669,669,1014,2142,2131,979
Airdrie Central,Males,5669,383,784,465,513,719,741,1274,476
Airdrie Central,Females,6269,197,1213,1204,156,295,1401,857,503
Airdrie North,All,14742,722,2405,2043,1011,1328,2490,2752,1031
Airdrie North,Males,7254,449,990,500,771,979,868,1757,487
Airdrie North,Females,7488,273,1415,1543,240,349,1622,995,544
Airdrie South,All,14608,924,2875,2408,925,1243,2283,2209,746
Airdrie South,Males,6984,587,1222,602,689,928,780,1401,345
Airdrie South,Females,7624,337,1653,1806,236,315,1503,808,401
Airyhall / Broomhill / Garthdee,All,12107,1895,2955,1554,623,896,1434,938,343
Airyhall / Broomhill / Garthdee,Males,5968,1246,1266,404,423,671,544,581,153
Airyhall / Broomhill / Garthdee,Females,6139,649,1689,1150,200,225,890,357,190
Almond,All,17862,2898,4802,2891,1372,1038,1954,1247,433
Almond,Males,8598,1880,2151,746,880,735,687,711,211
Almond,Females,9264,1018,2651,2145,492,303,1267,536,222
Almond and Earn,All,8502,915,2176,1112,932,590,1008,740,165
Almond and Earn,Males,4159,596,899,273,635,436,351,452,83
Almond and Earn,Females,4343,319,1277,839,297,154,657,288,82
An Taobh Siar agus Nis,All,2368,100,495,273,272,219,435,393,68
An Taobh Siar agus Nis,Males,1227,60,191,75,214,163,148,292,38
